source_url,target_url_301,silo,backlinks,internal_links,type,notes
https://callpowells.com/norfolk/heating/gas-oil-furnaces-repair/,https://callpowells.com/norfolk/heating/,Norfolk,104,33,404-fix,Not in Norfolk nav (Heating = hub only). 301 preserves 104 backlinks.
https://callpowells.com/norfolk/air-conditioning/mini-split-ac-repair/,https://callpowells.com/norfolk/air-conditioning/,Norfolk,70,33,404-fix,Not in Norfolk nav (AC = hub only). Preserves 70 backlinks.
https://callpowells.com/norfolk/air-conditioning/geothermal-repair/,https://callpowells.com/norfolk/air-conditioning/,Norfolk,68,33,404-fix,Not in Norfolk nav. Preserves 68 backlinks.
https://callpowells.com/norfolk/heating/furnace-repair/,https://callpowells.com/norfolk/heating/,Norfolk,64,33,404-fix,Not in Norfolk nav. Preserves 64 backlinks.
https://callpowells.com/norfolk/air-conditioning/geothermal/,https://callpowells.com/norfolk/air-conditioning/,Norfolk,63,33,404-fix,Not in Norfolk nav. Preserves 63 backlinks.
https://callpowells.com/norfolk/air-conditioning/ac-installation/,https://callpowells.com/norfolk/air-conditioning/,Norfolk,63,33,404-fix,Not in Norfolk nav. Preserves 63 backlinks.
https://callpowells.com/norfolk/heating/heat-pump-installation/,https://callpowells.com/norfolk/heating/,Norfolk,55,33,404-fix,Not in Norfolk nav. Preserves 55 backlinks.
https://callpowells.com/norfolk/air-conditioning/ac-tune-up/,https://callpowells.com/norfolk/air-conditioning/,Norfolk,54,33,404-fix,Not in Norfolk nav. Preserves 54 backlinks.
https://callpowells.com/norfolk/air-conditioning/ac-service/,https://callpowells.com/norfolk/air-conditioning/,Norfolk,52,33,404-fix,Not in Norfolk nav. Preserves 52 backlinks.
https://callpowells.com/norfolk/air-conditioning/ac-repair/,https://callpowells.com/norfolk/air-conditioning/,Norfolk,51,33,404-fix,Not in Norfolk nav. Preserves 51 backlinks.
https://callpowells.com/norfolk/heating/furnace-service/,https://callpowells.com/norfolk/heating/,Norfolk,47,33,404-fix,Not in Norfolk nav. Preserves 47 backlinks.
https://callpowells.com/norfolk/air-conditioning/geothermal-service/,https://callpowells.com/norfolk/air-conditioning/,Norfolk,41,33,404-fix,Not in Norfolk nav. Preserves 41 backlinks.
https://callpowells.com/norfolk/heating/furnace-tune-up/,https://callpowells.com/norfolk/heating/,Norfolk,40,33,404-fix,Not in Norfolk nav. Preserves 40 backlinks.
https://callpowells.com/norfolk/air-conditioning/radiator-repairs/,https://callpowells.com/norfolk/air-conditioning/,Norfolk,0,33,404-fix,Not in Norfolk nav.
https://callpowells.com/norfolk/heating/furnace-installation/,https://callpowells.com/norfolk/heating/,Norfolk,0,33,404-fix,Not in Norfolk nav.
https://callpowells.com/norfolk/air-conditioning/geothermal-installation/,https://callpowells.com/norfolk/air-conditioning/,Norfolk,0,33,404-fix,Not in Norfolk nav.
https://callpowells.com/norfolk/air-conditioning/nest-pro-installation/,https://callpowells.com/norfolk/air-conditioning/,Norfolk,0,33,404-fix,Not in Norfolk nav.
https://callpowells.com/norfolk/?page_id=71,https://callpowells.com/norfolk/,Norfolk,0,43,404-fix,Nav 'Services' link points here and 404s. Repoint the nav item; 301 to Norfolk home.
https://callpowells.com/winchester/plumbing/boiler-repair/,https://callpowells.com/winchester/plumbing/,Winchester,128,25,404-fix,Not in Winchester nav (nav lists 'Boiler & Radiator Services'). 301 to plumbing hub preserves 128 backlinks - highest on site.
https://callpowells.com/winchester/plumbing/tankless-water-heaters/,https://callpowells.com/winchester/plumbing/water-heater-services/,Winchester,119,25,404-fix,Not in nav; nav lists 'Water Heater Services'. 301 preserves 119 backlinks into the WH hub.
https://callpowells.com/winchester/heating/furnace-repair/,https://callpowells.com/winchester/heating/gas-oil-furnaces-repair/,Winchester,0,25,404-fix,Nav 'Furnaces' = gas-oil-furnaces-repair (the live equivalent).
https://callpowells.com/winchester/heating/furnace-service/,https://callpowells.com/winchester/heating/,Winchester,0,25,404-fix,Not in Winchester nav.
https://callpowells.com/winchester/heating/furnace-tune-up/,https://callpowells.com/winchester/heating/,Winchester,0,25,404-fix,Not in Winchester nav.
https://callpowells.com/winchester/plumbing/drain-clogs/,https://callpowells.com/winchester/plumbing/drain-cleaning/,Winchester,0,25,404-fix,Nav lists 'Drain Cleaning' (live equivalent).
https://callpowells.com/winchester/plumbing/water-heater-installation/,https://callpowells.com/winchester/plumbing/water-heater-services/,Winchester,0,25,404-fix,Fold into Water Heater Services (nav).
https://callpowells.com/winchester/plumbing/gas-line-installation/,https://callpowells.com/winchester/plumbing/,Winchester,0,25,404-fix,Not in Winchester nav.
https://callpowells.com/winchester/plumbing/radiators/,https://callpowells.com/winchester/plumbing/,Winchester,0,25,404-fix,Not in Winchester nav.
https://callpowells.com/winchester/air-conditioning/nest-pro-installation/,https://callpowells.com/winchester/air-conditioning/,Winchester,0,25,404-fix,Not in Winchester nav.
https://callpowells.com/winchester/air-conditioning/radiator-repairs/,https://callpowells.com/winchester/air-conditioning/,Winchester,0,25,404-fix,Not in Winchester nav.
https://callpowells.com/winchester/septic/sewer/,https://callpowells.com/winchester/septic/sewer-drain-cleaning/,Winchester,0,25,404-fix,Nav lists 'Sewer Drain Cleaning' (closest live).
https://callpowells.com/winchester/septic/septic-pumping/,https://callpowells.com/winchester/septic/,Winchester,0,25,404-fix,Not in Winchester nav.
https://callpowells.com/winchester/septic/septic-replacement/,https://callpowells.com/winchester/septic/,Winchester,0,25,404-fix,Not in Winchester nav.
https://callpowells.com/winchester/septic/septic-installation/,https://callpowells.com/winchester/septic/,Winchester,0,25,404-fix,Not in Winchester nav.
https://callpowells.com/winchester/septic/septic-tank-inspections/,https://callpowells.com/winchester/septic/,Winchester,0,25,404-fix,Not in Winchester nav.
https://callpowells.com/winchester/septic/water-lines/,https://callpowells.com/winchester/septic/,Winchester,0,25,404-fix,Not in Winchester nav.
https://callpowells.com/wilmington/heating/water-heater-repair/,https://callpowells.com/wilmington/plumbing/water-heater-services/,Wilmington,0,62,404-fix,Nav 'Water Heater Repair' points to this /heating/ URL which 404s. Repoint nav; 301 straight to WH hub (avoids a chain).
https://callpowells.com/wilmington/plumbing/boiler-repair/,https://callpowells.com/wilmington/plumbing/,Wilmington,0,52,404-fix,Not in Wilmington nav.
https://callpowells.com/wilmington/plumbing/gas-line-installation/,https://callpowells.com/wilmington/plumbing/,Wilmington,0,52,404-fix,Not in Wilmington nav.
https://callpowells.com/wilmington/plumbing/boiler-and-radiator-services/,https://callpowells.com/wilmington/plumbing/,Wilmington,0,52,404-fix,Not in Wilmington nav.
https://callpowells.com/wilmington/thermostat-repair/,https://callpowells.com/wilmington/heating/,Wilmington,0,1,404-fix,Not in Wilmington nav. 301 to Heating hub.
https://callpowells.com/wilmington/plumbing/emergency-plumbing/,https://callpowells.com/wilmington/plumbing/,Wilmington,0,1,404-fix,Not in Wilmington nav.
https://callpowells.com/wilmington/plumbing/sewer-line-repair/piney-grove/,https://callpowells.com/wilmington/plumbing/sewer-line-repair/,Wilmington,0,1,404-fix,Sub-city page (not in nav). Consolidate to live sewer-line-repair parent.
https://callpowells.com/wilmington/plumbing/sewer-line-repair/seagate/,https://callpowells.com/wilmington/plumbing/sewer-line-repair/,Wilmington,0,1,404-fix,Sub-city page (not in nav). Consolidate to live sewer-line-repair parent.
https://callpowells.com/wilmington/plumbing/sewer-line-repair/wrightsville-beach/,https://callpowells.com/wilmington/plumbing/sewer-line-repair/,Wilmington,0,1,404-fix,Sub-city page (not in nav). Consolidate to live sewer-line-repair parent.
